EJERCICIO;CENTRO GESTOR;SECCION;SERVICIO;FUNCIONAL;ECONOMICA;CAPITULO;FINANCIACION;DESCRIPCION;IMPORTE
2021;0100010000;0100;01;11A;10000;1;0101;RETRIBUCIONES DINERARIAS;641000
2021;0100010000;0100;01;11A;11000;1;0101;RETRIBUCIONES;4350388
2021;0100010000;0100;01;11A;12000;1;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);2612212
2021;0100010000;0100;01;11A;12001;1;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);308138
2021;0100010000;0100;01;11A;12002;1;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);1212194
2021;0100010000;0100;01;11A;12003;1;0101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);145484
2021;0100010000;0100;01;11A;12005;1;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);1150000
2021;0100010000;0100;01;11A;12100;1;0101;COMPLEMENTO DE DESTINO;2984540
2021;0100010000;0100;01;11A;12101;1;0101;COMPLEMENTO ESPECIFICO;6137026
2021;0100010000;0100;01;11A;12109;1;0101;OTROS COMPLEMENTOS;8085
2021;0100010000;0100;01;11A;12800;1;0101;PERS.FUNC.INTERINO EX.AC.TAREAS O EJ.PROG.TEMPORAL;30000
2021;0100010000;0100;01;11A;13001;1;0101;SALARIOS GRUPO II;42676
2021;0100010000;0100;01;11A;13002;1;0101;SALARIOS GRUPO III;445398
2021;0100010000;0100;01;11A;13003;1;0101;SALARIOS GRUPO IV;234122
2021;0100010000;0100;01;11A;13004;1;0101;SALARIOS GRUPO V;411662
2021;0100010000;0100;01;11A;13005;1;0101;ANTIGUEDAD (INCLUIDO COMPLEM. PERSONAL NO ABSORB.);672453
2021;0100010000;0100;01;11A;13100;1;0101;COMPLEMENTO DE CATEGORIA;646277
2021;0100010000;0100;01;11A;13101;1;0101;COMPLEMENTO DE PUESTO DE TRABAJO;523809
2021;0100010000;0100;01;11A;13102;1;0101;COMPLEMENTO DE CONVENIO;417241
2021;0100010000;0100;01;11A;13104;1;0101;COMPLEMENTOS PERSONALES Y TRANSITORIOS;1257
2021;0100010000;0100;01;11A;13109;1;0101;OTROS COMPLEMENTOS;309000
2021;0100010000;0100;01;11A;13500;1;0101;ADMINISTRACIÓN GENERAL;250000
2021;0100010000;0100;01;11A;15000;1;0101;PERSONAL FUNCIONARIO;217495
2021;0100010000;0100;01;11A;15001;1;0101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);29505
2021;0100010000;0100;01;11A;15004;1;0101;LETRADOS Y LETRADAS;1040000
2021;0100010000;0100;01;11A;15100;1;0101;POR SERVICIOS EXTRAORDINARIOS;93475
2021;0100010000;0100;01;11A;15200;1;0101;POR SERVICIOS EXTRAORDINARIOS;92605
