EJERCICIO;CENTRO GESTOR;SECCION;SERVICIO;FUNCIONAL;ECONOMICA;CAPITULO;FINANCIACION;DESCRIPCION;IMPORTE
2021;100010000;1000;10;11A;10000;1;101;RETRIBUCIONES DINERARIAS;641.000,00
2021;100010000;1000;10;11A;11000;1;101;RETRIBUCIONES;4.350.388,00
2021;100010000;1000;10;11A;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);2.612.212,00
2021;100010000;1000;10;11A;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);308.138,00
2021;100010000;1000;10;11A;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);1.212.194,00
2021;100010000;1000;10;11A;12003;1;101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);145.484,00
2021;100010000;1000;10;11A;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);1.150.000,00
2021;100010000;1000;10;11A;12100;1;101;COMPLEMENTO DE DESTINO;2.984.540,00
2021;100010000;1000;10;11A;12101;1;101;COMPLEMENTO ESPECIFICO;6.137.026,00
2021;100010000;1000;10;11A;12109;1;101;OTROS COMPLEMENTOS;8.085,00
2021;100010000;1000;10;11A;12800;1;101;PERS.FUNC.INTERINO EX.AC.TAREAS O EJ.PROG.TEMPORAL;30.000,00
2021;100010000;1000;10;11A;13001;1;101;SALARIOS GRUPO II;42.676,00
2021;100010000;1000;10;11A;13002;1;101;SALARIOS GRUPO III;445.398,00
2021;100010000;1000;10;11A;13003;1;101;SALARIOS GRUPO IV;234.122,00
2021;100010000;1000;10;11A;13004;1;101;SALARIOS GRUPO V;411.662,00
2021;100010000;1000;10;11A;13005;1;101;ANTIGUEDAD (INCLUIDO COMPLEM. PERSONAL NO ABSORB.);672.453,00
2021;100010000;1000;10;11A;13100;1;101;COMPLEMENTO DE CATEGORIA;646.277,00
2021;100010000;1000;10;11A;13101;1;101;COMPLEMENTO DE PUESTO DE TRABAJO;523.809,00
2021;100010000;1000;10;11A;13102;1;101;COMPLEMENTO DE CONVENIO;417.241,00
2021;100010000;1000;10;11A;13104;1;101;COMPLEMENTOS PERSONALES Y TRANSITORIOS;1.257,00
2021;100010000;1000;10;11A;13109;1;101;OTROS COMPLEMENTOS;309.000,00
2021;100010000;1000;10;11A;13500;1;101;ADMINISTRACIÓN GENERAL;250.000,00
2021;100010000;1000;10;11A;15000;1;101;PERSONAL FUNCIONARIO;217.495,00
2021;100010000;1000;10;11A;15001;1;101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);29.505,00
2021;100010000;1000;10;11A;15004;1;101;LETRADOS Y LETRADAS;1.040.000,00
2021;100010000;1000;10;11A;15100;1;101;POR SERVICIOS EXTRAORDINARIOS;93.475,00
2021;100010000;1000;10;11A;15200;1;101;POR SERVICIOS EXTRAORDINARIOS;92.605,00
2021;100010000;1000;10;11A;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);5.661.439,00
2021;100010000;1000;10;11A;16200;1;101;FORMACION Y PERFECCIONAMIENTO DEL PERSONAL (A.G.);43.325,00
2021;100010000;1000;10;11A;16202;1;101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (A.G.);53.571,00
2021;100010000;1000;10;11A;16304;1;101;PREMIOS DE JUBILACIÓN (ADMÓN GENERAL);50.411,00
2021;100010000;1000;10;11A;17001;1;101;INCREMENTO RETRIBUTIVO FIJO(ADMON. GENERAL);974.639,00
2021;100010000;1000;10;11A;19000;1;101;ADMINISTRACIÓN GENERAL;2.500.000,00
2021;100010000;1000;10;11A;20200;2;101;ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES;15.000,00
2021;100010000;1000;10;11A;21200;2;101;EDIFICIOS Y OTRAS CONSTRUCCIONES;1.462.043,00
2021;100010000;1000;10;11A;21300;2;101;MAQUINARIA;196.649,00
2021;100010000;1000;10;11A;21301;2;101;INSTALACIONES;13.873,00
2021;100010000;1000;10;11A;21400;2;101;ELEMENTOS DE TRANSPORTE;30.000,00
