EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2021;0100010000;11A;10000;0101;RETRIBUCIONES DINERARIAS;641000,00
2021;0100010000;11A;11000;0101;RETRIBUCIONES;4350388,00
2021;0100010000;11A;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);2612212,00
2021;0100010000;11A;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);308138,00
2021;0100010000;11A;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);1212194,00
2021;0100010000;11A;12003;0101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);145484,00
2021;0100010000;11A;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);1150000,00
2021;0100010000;11A;12100;0101;COMPLEMENTO DE DESTINO;2984540,00
2021;0100010000;11A;12101;0101;COMPLEMENTO ESPECIFICO;6137026,00
2021;0100010000;11A;12109;0101;OTROS COMPLEMENTOS;8085,00
2021;0100010000;11A;12800;0101;PERSFUNCINTERINO EXACTAREAS O EJPROGTEMPORAL;30000,00
2021;0100010000;11A;13001;0101;SALARIOS GRUPO II;42676,00
2021;0100010000;11A;13002;0101;SALARIOS GRUPO III;445398,00
2021;0100010000;11A;13003;0101;SALARIOS GRUPO IV;234122,00
2021;0100010000;11A;13004;0101;SALARIOS GRUPO V;411662,00
2021;0100010000;11A;13005;0101;ANTIGUEDAD (INCLUIDO COMPLEM PERSONAL NO ABSORB);672453,00
2021;0100010000;11A;13100;0101;COMPLEMENTO DE CATEGORIA;646277,00
2021;0100010000;11A;13101;0101;COMPLEMENTO DE PUESTO DE TRABAJO;523809,00
2021;0100010000;11A;13102;0101;COMPLEMENTO DE CONVENIO;417241,00
2021;0100010000;11A;13104;0101;COMPLEMENTOS PERSONALES Y TRANSITORIOS;1257,00
2021;0100010000;11A;13109;0101;OTROS COMPLEMENTOS;309000,00
2021;0100010000;11A;13500;0101;ADMINISTRACIÓN GENERAL;250000,00
2021;0100010000;11A;15000;0101;PERSONAL FUNCIONARIO;217495,00
2021;0100010000;11A;15001;0101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);29505,00
2021;0100010000;11A;15004;0101;LETRADOS Y LETRADAS;1040000,00
2021;0100010000;11A;15100;0101;POR SERVICIOS EXTRAORDINARIOS;93475,00
2021;0100010000;11A;15200;0101;POR SERVICIOS EXTRAORDINARIOS;92605,00
2021;0100010000;11A;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);5661439,00
2021;0100010000;11A;16200;0101;FORMACION Y PERFECCIONAMIENTO DEL PERSONAL (AG);43325,00
2021;0100010000;11A;16202;0101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (AG);53571,00
2021;0100010000;11A;16304;0101;PREMIOS DE JUBILACIÓN (ADMÓN GENERAL);50411,00
2021;0100010000;11A;17001;0101;INCREMENTO RETRIBUTIVO FIJO(ADMON GENERAL);974639,00
2021;0100010000;11A;19000;0101;ADMINISTRACIÓN GENERAL;2500000,00
2021;0100010000;11A;20200;0101;ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES;15000,00
2021;0100010000;11A;21200;0101;EDIFICIOS Y OTRAS CONSTRUCCIONES;1462043,00
2021;0100010000;11A;21300;0101;MAQUINARIA;196649,00
2021;0100010000;11A;21301;0101;INSTALACIONES;13873,00
2021;0100010000;11A;21400;0101;ELEMENTOS DE TRANSPORTE;30000,00
2021;0100010000;11A;21600;0101;EQUIPOS DE PROCESOS Y TRANSMISIONES DE DATOS;160901,00
2021;0100010000;11A;21601;0101;REPARACIÓN Y MANTENIMIENTO CENTROS PROCESO DATOS;59259,00
2021;0100010000;11A;21602;0101;MANTENIMIENTO Y ADAPTACIÓN PROGRAMAS INFORMÁTICOS;193529,00
2021;0100010000;11A;22000;0101;ORDINARIO NO INVENTARIABLE;120000,00
2021;0100010000;11A;22001;0101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;21000,00
2021;0100010000;11A;22002;0101;MATERIAL INFORMATICO NO INVENTARIABLE;55000,00
2021;0100010000;11A;22101;0101;AGUA;26000,00
2021;0100010000;11A;22102;0101;GAS;3000,00
2021;0100010000;11A;22103;0101;COMBUSTIBLE;70000,00
2021;0100010000;11A;22104;0101;VESTUARIO;72000,00
2021;0100010000;11A;22109;0101;OTROS SUMINISTROS;90000,00
2021;0100010000;11A;22116;0101;ENERGÍA ELÉCTRICA CONTRATACIÓN CENTRALIZADA;2381940,00
2021;0100010000;11A;22201;0101;POSTALES Y MENSAJERIA;100000,00
2021;0100010000;11A;22204;0101;SERVICIOS DE ACCESO A DATOS Y COMUNTRONCALES INF;538778,00
2021;0100010000;11A;22216;0101;TELEFÓNICAS CONTRATACIÓN CENTRALIZADA;491336,00
2021;0100010000;11A;22309;0101;OTROS;15000,00
2021;0100010000;11A;22501;0101;LOCALES;20000,00
2021;0100010000;11A;22601;0101;ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;99380,00
2021;0100010000;11A;22602;0101;INFORMACION, DIVULGACION Y PUBLICIDAD;25000,00
2021;0100010000;11A;22603;0101;JURIDICOS Y CONTENCIOSOS;15000,00
2021;0100010000;11A;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;375878,00
2021;0100010000;11A;22700;0101;LIMPIEZA Y ASEO;1062087,00
2021;0100010000;11A;22701;0101;SEGURIDAD;846000,00
2021;0100010000;11A;22704;0101;CUSTODIA, DEPOSITO Y ALMACENAJE;20000,00
2021;0100010000;11A;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;1550000,00
2021;0100010000;11A;22707;0101;EDICIÓN DE PUBLICACIONES;10000,00
